File,Class,Is Blob Controller,Is Data Class,Smells
object_array.py,ObjectStringArrayMixin,True,False,"large_class, low_cohesion"
merge.py,_MergeOperation,True,False,"large_class, low_cohesion, long_method, comment_heavy"
merge.py,_AsOfMerge,True,False,"large_class, low_cohesion, long_method, comment_heavy"
reshape.py,_Unstacker,True,False,"large_class, low_cohesion"
selectn.py,SelectNSeries,True,False,"large_class, low_cohesion"
selectn.py,SelectNFrame,True,False,"large_class, low_cohesion"
managers.py,BaseBlockManager,True,False,"large_class, low_cohesion, comment_heavy"
managers.py,BlockManager,True,False,"large_class, low_cohesion, comment_heavy"
managers.py,SingleBlockManager,True,False,"large_class, low_cohesion, comment_heavy"
column.py,PandasColumn,True,False,"large_class, low_cohesion, comment_heavy"
dataframe.py,PandasDataFrameXchg,True,False,"large_class, low_cohesion"
accessors.py,ArrowTemporalProperties,True,False,"large_class, low_cohesion, comment_heavy"
accessors.py,DatetimeProperties,True,False,"large_class, low_cohesion, comment_heavy"
accessors.py,TimedeltaProperties,True,False,"large_class, low_cohesion, comment_heavy"
timedeltas.py,TimedeltaIndex,True,False,"large_class, low_cohesion, comment_heavy"
grouper.py,Grouper,True,False,"large_class, low_cohesion, comment_heavy"
grouper.py,Grouping,True,False,"large_class, low_cohesion, comment_heavy"
indexing.py,GroupByIndexingMixin,True,False,"large_class, low_cohesion, comment_heavy"
ops.py,WrappedCythonOp,True,False,"large_class, low_cohesion"
ops.py,BaseGrouper,True,False,"large_class, low_cohesion"
ops.py,BinGrouper,True,False,"large_class, low_cohesion"
base.py,ExtensionDtype,True,False,"large_class, low_cohesion, comment_heavy"
dtypes.py,CategoricalDtype,True,False,"large_class, low_cohesion, comment_heavy"
dtypes.py,DatetimeTZDtype,True,False,"large_class, low_cohesion, comment_heavy"
dtypes.py,PeriodDtype,True,False,"large_class, low_cohesion, comment_heavy"
dtypes.py,IntervalDtype,True,False,"large_class, low_cohesion, comment_heavy"
dtypes.py,SparseDtype,True,False,"large_class, low_cohesion, comment_heavy"
dtypes.py,ArrowDtype,True,False,"large_class, low_cohesion, comment_heavy"
expr.py,BaseExprVisitor,True,False,"large_class, low_cohesion"
pytables.py,BinOp,True,False,"large_class, low_cohesion"
pytables.py,PyTablesExpr,True,False,"large_class, low_cohesion"
scope.py,Scope,True,False,"large_class, low_cohesion, comment_heavy"
boolean.py,BooleanArray,True,False,"large_class, low_cohesion"
categorical.py,Categorical,True,False,"large_class, low_cohesion, comment_heavy"
categorical.py,CategoricalAccessor,True,False,"large_class, low_cohesion, long_method, comment_heavy"
numpy_.py,NumpyExtensionArray,True,False,"large_class, low_cohesion"
string_arrow.py,ArrowStringArray,True,False,"large_class, low_cohesion"
_arrow_string_mixins.py,ArrowStringArrayMixin,True,False,"large_class, low_cohesion"
accessor.py,SparseAccessor,True,False,"large_class, low_cohesion, comment_heavy"
accessor.py,SparseFrameAccessor,True,False,"large_class, low_cohesion, comment_heavy"
accessors.py,ListAccessor,True,False,"large_class, low_cohesion, comment_heavy"
accessors.py,StructAccessor,True,False,"large_class, low_cohesion, comment_heavy"
