File,Class,Is Blob Controller,Is Data Class,Smells
graph.py,DotBackend,True,False,"large_class, low_cohesion"
file_state.py,FileState,True,False,"large_class, low_cohesion"
linterstats.py,LinterStats,True,False,"large_class, low_cohesion, long_method"
lint_module_test.py,LintModuleTest,True,False,"large_class, low_cohesion, long_method"
package_to_lint.py,PackageToLint,True,False,"large_class, low_cohesion"
primer.py,Primer,True,False,"large_class, low_cohesion"
primer_compare_command.py,CompareCommand,True,False,"large_class, low_cohesion"
base_writer.py,BaseWriter,True,False,"large_class, low_cohesion"
text_writer.py,TextWriter,True,False,"large_class, low_cohesion"
diadefslib.py,DiaDefGenerator,True,False,"large_class, low_cohesion"
diagrams.py,ClassDiagram,True,False,"large_class, low_cohesion"
dot_printer.py,DotPrinter,True,False,"large_class, low_cohesion"
inspector.py,Project,True,False,"large_class, low_cohesion"
inspector.py,Linker,True,False,"large_class, low_cohesion"
writer.py,DiagramWriter,True,False,"large_class, low_cohesion"
message_definition.py,MessageDefinition,True,False,"large_class, low_cohesion"
message_definition_store.py,MessageDefinitionStore,True,False,"large_class, low_cohesion"
message_id_store.py,MessageIdStore,True,False,"large_class, low_cohesion"
message_state_handler.py,_MessageStateHandler,True,False,"large_class, low_cohesion"
docparams.py,DocstringParameterChecker,True,False,"large_class, low_cohesion"
_check_docs_utils.py,Docstring,True,False,"large_class, low_cohesion"
_check_docs_utils.py,SphinxDocstring,True,False,"large_class, low_cohesion"
_check_docs_utils.py,GoogleDocstring,True,False,"large_class, low_cohesion"
_check_docs_utils.py,NumpyDocstring,True,False,"large_class, low_cohesion"
imports.py,ImportsChecker,True,False,"large_class, low_cohesion"
logging.py,LoggingChecker,True,False,"large_class, low_cohesion"
misc.py,EncodingChecker,True,False,"large_class, low_cohesion"
unicode.py,UnicodeChecker,True,False,"large_class, low_cohesion"
