File,Classification,Score,Smells
constants.py,clean,0.15,dead_code
exceptions.py,clean,0.0,
graph.py,clean,0.0,
interfaces.py,clean,0.0,
typing.py,clean,0.15,dead_code
__init__.py,clean,0.15,dead_code
__main__.py,clean,0.0,
__pkginfo__.py,clean,0.15,dead_code
ast_walker.py,clean,0.25,switch_stmt
docs.py,clean,0.0,
file_state.py,clean,0.25,switch_stmt
linterstats.py,clean,0.15,dead_code
pragma_parser.py,clean,0.25,switch_stmt
utils.py,potential,0.4,"switch_stmt, dead_code"
__init__.py,clean,0.0,
checker_test_case.py,potential,0.4,"switch_stmt, dead_code"
configuration_test.py,clean,0.15,dead_code
constants.py,clean,0.0,
decorator.py,clean,0.0,
get_test_info.py,clean,0.25,switch_stmt
global_test_linter.py,clean,0.0,
lint_module_test.py,potential,0.4,"switch_stmt, dead_code"
output_line.py,clean,0.0,
pyreverse.py,clean,0.15,dead_code
reporter_for_tests.py,clean,0.15,dead_code
tokenize_str.py,clean,0.0,
unittest_linter.py,potential,0.4,"switch_stmt, dead_code"
utils.py,clean,0.15,dead_code
_run.py,clean,0.15,dead_code
__init__.py,clean,0.0,
package_to_lint.py,clean,0.0,
primer.py,clean,0.0,
primer_command.py,clean,0.0,
primer_compare_command.py,clean,0.25,switch_stmt
primer_prepare_command.py,clean,0.25,switch_stmt
primer_run_command.py,clean,0.0,
__init__.py,clean,0.0,
find_functional_tests.py,clean,0.25,switch_stmt
lint_module_output_update.py,clean,0.15,dead_code
test_file.py,clean,0.0,
__init__.py,clean,0.0,
base_reporter.py,clean,0.0,
collecting_reporter.py,clean,0.0,
json_reporter.py,clean,0.15,dead_code
multi_reporter.py,clean,0.0,
progress_reporters.py,clean,0.0,
reports_handler_mix_in.py,clean,0.0,
text.py,clean,0.0,
__init__.py,clean,0.0,
base_writer.py,clean,0.0,
nodes.py,clean,0.15,dead_code
text_writer.py,clean,0.15,dead_code
__init__.py,clean,0.0,
diadefslib.py,clean,0.15,dead_code
diagrams.py,potential,0.4,"switch_stmt, dead_code"
dot_printer.py,clean,0.25,switch_stmt
inspector.py,potential,0.4,"switch_stmt, dead_code"
main.py,clean,0.0,
mermaidjs_printer.py,clean,0.25,switch_stmt
plantuml_printer.py,clean,0.25,switch_stmt
printer.py,clean,0.15,dead_code
printer_factory.py,clean,0.0,
utils.py,clean,0.25,switch_stmt
writer.py,clean,0.25,switch_stmt
__init__.py,clean,0.0,
message.py,clean,0.0,
message_definition.py,clean,0.25,switch_stmt
message_definition_store.py,clean,0.0,
message_id_store.py,potential,0.4,"switch_stmt, dead_code"
_deleted_message_ids.py,clean,0.15,dead_code
__init__.py,clean,0.0,
base_options.py,clean,0.15,dead_code
caching.py,clean,0.0,
expand_modules.py,clean,0.25,switch_stmt
message_state_handler.py,clean,0.25,switch_stmt
parallel.py,clean,0.0,
pylinter.py,potential,0.4,"switch_stmt, dead_code"
