,File,Classification,Score,Smells
0,bump_changelog.py,clean,0.0,
1,check_newsfragments.py,clean,0.0,
2,create_contributor_list.py,clean,0.0,
3,get_unused_message_id_category.py,clean,0.0,
4,__init__.py,clean,0.0,
5,constants.py,clean,0.15,dead_code
6,exceptions.py,clean,0.0,
7,graph.py,clean,0.0,
8,interfaces.py,clean,0.0,
9,typing.py,clean,0.15,dead_code
10,__init__.py,clean,0.15,dead_code
11,__main__.py,clean,0.0,
12,__pkginfo__.py,clean,0.15,dead_code
13,ast_walker.py,clean,0.25,switch_stmt
14,docs.py,clean,0.0,
15,file_state.py,clean,0.25,switch_stmt
16,linterstats.py,clean,0.15,dead_code
17,pragma_parser.py,clean,0.25,switch_stmt
18,utils.py,potential,0.4,"switch_stmt, dead_code"
20,checker_test_case.py,potential,0.4,"switch_stmt, dead_code"
21,configuration_test.py,clean,0.15,dead_code
22,constants.py,clean,0.0,
23,decorator.py,clean,0.0,
24,get_test_info.py,clean,0.25,switch_stmt
25,global_test_linter.py,clean,0.0,
26,lint_module_test.py,potential,0.4,"switch_stmt, dead_code"
27,output_line.py,clean,0.0,
28,pyreverse.py,clean,0.15,dead_code
29,reporter_for_tests.py,clean,0.15,dead_code
30,tokenize_str.py,clean,0.0,
31,unittest_linter.py,potential,0.4,"switch_stmt, dead_code"
32,utils.py,clean,0.15,dead_code
33,_run.py,clean,0.15,dead_code
35,package_to_lint.py,clean,0.0,
36,primer.py,clean,0.0,
37,primer_command.py,clean,0.0,
38,primer_compare_command.py,clean,0.25,switch_stmt
39,primer_prepare_command.py,clean,0.25,switch_stmt
40,primer_run_command.py,clean,0.0,
42,find_functional_tests.py,clean,0.25,switch_stmt
43,lint_module_output_update.py,clean,0.15,dead_code
44,test_file.py,clean,0.0,
46,base_reporter.py,clean,0.0,
47,collecting_reporter.py,clean,0.0,
48,json_reporter.py,clean,0.15,dead_code
49,multi_reporter.py,clean,0.0,
50,progress_reporters.py,clean,0.0,
51,reports_handler_mix_in.py,clean,0.0,
52,text.py,clean,0.0,
54,base_writer.py,clean,0.0,
55,nodes.py,clean,0.15,dead_code
56,text_writer.py,clean,0.15,dead_code
58,diadefslib.py,clean,0.15,dead_code
59,diagrams.py,potential,0.4,"switch_stmt, dead_code"
60,dot_printer.py,clean,0.25,switch_stmt
61,inspector.py,potential,0.4,"switch_stmt, dead_code"
62,main.py,clean,0.0,
