File,Class,Is Blob Controller,Is Data Class,Smells
Action.py,ActionBase,True,False,"large_class, low_cohesion, comment_heavy"
Action.py,_ActionAction,True,False,"large_class, low_cohesion, comment_heavy"
Action.py,CommandAction,True,False,"large_class, low_cohesion, comment_heavy"
Action.py,FunctionAction,True,False,"large_class, low_cohesion, comment_heavy"
BuilderTests.py,Environment,True,False,"large_class, low_cohesion"
BuilderTests.py,MyNode_without_target_from_source,True,False,"large_class, low_cohesion"
BuilderTests.py,BuilderTestCase,True,False,"large_class, low_cohesion"
BuilderTests.py,CompositeBuilderTestCase,True,False,"large_class, low_cohesion"
CacheDir.py,CacheDir,True,False,"large_class, low_cohesion, comment_heavy"
cpp.py,PreProcessor,True,False,"large_class, low_cohesion, comment_heavy"
cppTests.py,cppTestCase,True,False,"large_class, low_cohesion"
dblite.py,_Dblite,True,False,"large_class, low_cohesion, long_method, comment_heavy"
DefaultsTests.py,DefaultsTestCase,True,False,"large_class, low_cohesion, comment_heavy"
Errors.py,BuildError,True,False,"large_class, low_cohesion, comment_heavy"
ErrorsTests.py,ErrorsTestCase,True,False,"large_class, low_cohesion"
ExecutorTests.py,MyNode,True,False,"large_class, low_cohesion"
PathListTests.py,subst_pathTestCase,True,False,"large_class, low_cohesion"
SConf.py,SConfBuildTask,True,False,"large_class, low_cohesion, comment_heavy"
SConf.py,SConfBase,True,False,"large_class, low_cohesion, comment_heavy"
SConf.py,CheckContext,True,False,"large_class, low_cohesion, comment_heavy"
SConfTests.py,SConfTestCase,True,False,"large_class, low_cohesion"
Subst.py,StringSubber,True,False,"large_class, low_cohesion, comment_heavy"
Subst.py,ListSubber,True,False,"large_class, low_cohesion, comment_heavy"
SubstTests.py,SubstTestCase,True,False,"large_class, low_cohesion"
SubstTests.py,scons_subst_TestCase,True,False,"large_class, low_cohesion"
SubstTests.py,scons_subst_list_TestCase,True,False,"large_class, low_cohesion"
EnumVariableTests.py,EnumVariableTestCase,True,False,"large_class, low_cohesion"
ListVariableTests.py,ListVariableTestCase,True,False,"large_class, low_cohesion"
PackageVariableTests.py,PackageVariableTestCase,True,False,"large_class, low_cohesion"
VariablesTests.py,VariablesTestCase,True,False,"large_class, low_cohesion"
VariablesTests.py,UnknownVariablesTestCase,True,False,"large_class, low_cohesion"
__init__.py,Variables,True,False,"large_class, low_cohesion, comment_heavy"
filelock.py,FileLock,True,False,"large_class, low_cohesion, comment_heavy"
Job.py,Jobs,True,False,"large_class, low_cohesion, comment_heavy"
Job.py,NewParallel,True,False,"large_class, low_cohesion, comment_heavy"
JobTests.py,Taskmaster,True,False,"large_class, low_cohesion"
TaskmasterTests.py,Node,True,False,"large_class, low_cohesion"
TaskmasterTests.py,TaskmasterTestCase,True,False,"large_class, low_cohesion, long_method"
__init__.py,Task,True,False,"large_class, low_cohesion, comment_heavy"
__init__.py,Taskmaster,True,False,"large_class, low_cohesion, comment_heavy"
