,File,Classification,Score,Smells
0,Alias.py,clean,0.15,dead_code
1,AliasTests.py,clean,0.15,dead_code
2,FS.py,spaghetti,0.7000000000000001,"global_vars, switch_stmt, dead_code"
3,FSTests.py,spaghetti,0.7000000000000001,"global_vars, switch_stmt, dead_code"
4,NodeTests.py,spaghetti,0.7000000000000001,"global_vars, switch_stmt, dead_code"
5,Python.py,potential,0.4499999999999999,"global_vars, dead_code"
6,PythonTests.py,clean,0.15,dead_code
7,__init__.py,potential,0.4,"switch_stmt, dead_code"
8,386asm.py,clean,0.0,
9,aixc++.py,clean,0.0,
10,aixcc.py,clean,0.0,
11,aixcxx.py,clean,0.0,
12,aixf77.py,clean,0.0,
13,aixlink.py,clean,0.15,dead_code
14,applelink.py,clean,0.0,
15,ar.py,clean,0.0,
16,as.py,clean,0.0,
17,asm.py,clean,0.0,
18,bcc32.py,clean,0.0,
19,c++.py,clean,0.0,
20,cc.py,clean,0.0,
21,clang.py,clean,0.0,
22,clangxx.py,clean,0.0,
23,compilation_db.py,clean,0.15,dead_code
24,cvf.py,clean,0.0,
25,cxx.py,clean,0.0,
26,cyglink.py,potential,0.4,"switch_stmt, dead_code"
27,DCommon.py,clean,0.15,dead_code
28,default.py,clean,0.0,
29,dmd.py,clean,0.0,
30,dvi.py,clean,0.3,global_vars
31,dvipdf.py,clean,0.3,global_vars
32,dvips.py,clean,0.3,global_vars
33,f03.py,clean,0.0,
34,f08.py,clean,0.0,
35,f77.py,clean,0.0,
36,f90.py,clean,0.0,
37,f95.py,clean,0.0,
38,filesystem.py,clean,0.3,global_vars
39,fortran.py,clean,0.0,
40,FortranCommon.py,clean,0.0,
41,FortranCommonTests.py,clean,0.15,dead_code
42,g++.py,clean,0.0,
43,g77.py,clean,0.0,
44,gas.py,clean,0.0,
45,gcc.py,clean,0.0,
46,gdc.py,clean,0.0,
47,GettextCommon.py,potential,0.4499999999999999,"global_vars, dead_code"
48,gettext_tool.py,clean,0.0,
49,gfortran.py,clean,0.0,
50,gnulink.py,clean,0.0,
51,gs.py,clean,0.3,global_vars
52,gxx.py,clean,0.0,
53,hpc++.py,clean,0.0,
54,hpcc.py,clean,0.0,
55,hpcxx.py,clean,0.0,
56,hplink.py,clean,0.0,
57,icc.py,clean,0.0,
58,icl.py,clean,0.0,
59,ifl.py,clean,0.0,
60,ifort.py,clean,0.0,
61,ilink.py,clean,0.0,
62,ilink32.py,clean,0.0,
63,install.py,spaghetti,0.7000000000000001,"global_vars, switch_stmt, dead_code"
64,intelc.py,potential,0.55,"long_methods_no_params, switch_stmt"
65,ipkg.py,clean,0.0,
66,jar.py,potential,0.4,"switch_stmt, dead_code"
67,javac.py,potential,0.4,"switch_stmt, dead_code"
68,JavaCommon.py,clean,0.25,switch_stmt
69,JavaCommonTests.py,potential,0.4,"switch_stmt, dead_code"
70,javacTests.py,clean,0.15,dead_code
71,javah.py,clean,0.25,switch_stmt
72,latex.py,clean,0.0,
73,ldc.py,clean,0.0,
74,lex.py,clean,0.0,
75,link.py,clean,0.0,
76,linkloc.py,clean,0.0,
77,m4.py,clean,0.0,
78,masm.py,clean,0.0,
79,midl.py,clean,0.0,
80,mingw.py,clean,0.3,global_vars
81,msgfmt.py,clean,0.0,
82,msginit.py,clean,0.0,
83,msgmerge.py,clean,0.0,
84,mslib.py,clean,0.0,
85,mslink.py,clean,0.25,switch_stmt
86,mssdk.py,clean,0.0,
87,msvc.py,clean,0.15,dead_code
88,msvs.py,spaghetti,0.7000000000000001,"global_vars, switch_stmt, dead_code"
89,msvsTests.py,spaghetti,0.7000000000000001,"global_vars, switch_stmt, dead_code"
90,mwcc.py,clean,0.0,
91,mwld.py,clean,0.0,
92,nasm.py,clean,0.0,
93,pdf.py,clean,0.3,global_vars
94,pdflatex.py,clean,0.3,global_vars
95,pdftex.py,clean,0.3,global_vars
96,PharLapCommon.py,clean,0.0,
97,python.py,clean,0.0,
98,qt.py,clean,0.0,
99,qt3.py,clean,0.25,switch_stmt
100,rmic.py,clean,0.25,switch_stmt
101,rpcgen.py,clean,0.0,
102,rpm.py,clean,0.0,
103,rpmutils.py,potential,0.4,"switch_stmt, dead_code"
104,sgiar.py,clean,0.0,
105,sgic++.py,clean,0.0,
106,sgicc.py,clean,0.0,
107,sgicxx.py,clean,0.0,
108,sgilink.py,clean,0.0,
109,sunar.py,clean,0.0,
110,sunc++.py,clean,0.0,
111,suncc.py,clean,0.0,
112,suncxx.py,clean,0.25,switch_stmt
113,sunf77.py,clean,0.0,
114,sunf90.py,clean,0.0,
115,sunf95.py,clean,0.0,
116,sunlink.py,clean,0.0,
117,swig.py,potential,0.4,"switch_stmt, dead_code"
118,tar.py,clean,0.0,
119,tex.py,spaghetti,0.7000000000000001,"global_vars, switch_stmt, dead_code"
120,textfile.py,clean,0.25,switch_stmt
121,tlib.py,clean,0.0,
